Date,Open,High,Low,Close,Adj Close,Volume
2007-04-12,61.549999,61.950001,61.500000,61.919998,39.097466,9342600
2007-04-13,62.150002,62.380001,61.889999,62.349998,39.368961,14546100
2007-04-16,62.490002,63.020000,62.410000,63.020000,39.792023,13395100
2007-04-17,65.300003,65.400002,64.430000,64.550003,40.758102,29072800
2007-04-18,64.449997,64.769997,64.150002,64.430000,40.682320,11757000
2007-04-19,64.940002,65.029999,64.300003,64.940002,41.004345,12530900
2007-04-20,65.449997,65.449997,64.870003,65.120003,41.118008,15794600
2007-04-23,65.000000,65.120003,64.680000,64.750000,40.884369,10862400
2007-04-24,65.150002,65.150002,64.360001,64.489998,40.720215,10367000
2007-04-25,64.750000,65.120003,64.500000,64.680000,40.840183,12907800
2007-04-26,64.489998,64.699997,64.150002,64.239998,40.562359,10533100
2007-04-27,64.010002,64.529999,63.849998,64.169998,40.518162,9817600
2007-04-30,64.000000,64.370003,63.750000,64.220001,40.549728,13917900
2007-05-01,64.529999,64.940002,64.260002,64.559998,40.764416,10049100
2007-05-02,64.010002,64.800003,64.000000,64.480003,40.713894,7976300
2007-05-03,64.589996,64.800003,64.139999,64.320000,40.612865,8992000
2007-05-04,64.559998,64.790001,64.160004,64.480003,40.713894,6489200
2007-05-07,63.990002,64.330002,63.590000,64.260002,40.574997,10864100
2007-05-08,63.939999,64.089996,63.500000,63.700001,40.221397,10957500
2007-05-09,63.639999,64.290001,63.310001,64.110001,40.480263,13768500
2007-05-10,64.010002,64.010002,62.470001,62.500000,39.463688,23573300
2007-05-11,62.299999,63.029999,61.650002,62.270000,39.318470,23867100
2007-05-14,63.000000,63.459999,62.560001,62.610001,39.533134,16788200
2007-05-15,61.990002,62.400002,61.660000,61.820000,39.034325,21866900
2007-05-16,62.779999,63.369999,62.410000,63.049999,39.810970,17213000
2007-05-17,63.099998,63.099998,62.529999,62.740002,39.615234,12360000
2007-05-18,62.980000,63.630001,62.799999,63.419998,40.044586,13378700
2007-05-21,63.849998,64.029999,63.380001,63.520000,40.107746,10813300
2007-05-22,63.549999,63.880001,63.299999,63.580002,40.145618,8892500
2007-05-23,63.770000,64.099998,63.639999,63.810001,40.290848,9822100
2007-05-24,63.759998,64.080002,63.459999,63.480000,40.344864,11036400
2007-05-25,63.580002,63.580002,63.090000,63.189999,40.160553,8493000
2007-05-29,63.200001,63.360001,62.790001,63.049999,40.071594,10059400
2007-05-30,63.049999,63.360001,62.759998,63.220001,40.179626,10866600
2007-05-31,63.000000,63.549999,62.970001,63.270000,40.211395,12154500
2007-06-01,63.349998,63.770000,63.020000,63.410000,40.300385,10836900
2007-06-04,63.049999,63.669998,63.009998,63.599998,40.421135,10090400
2007-06-05,63.400002,63.549999,63.020000,63.310001,40.236816,11391400
2007-06-06,63.200001,63.430000,62.549999,62.900002,39.976254,11532300
2007-06-07,62.639999,62.900002,61.990002,62.000000,39.404240,14245500
